size,pronoun,prime_verb,pd_bias,pd_bias_ratio,target_verb,DO-DO,DO-PD,PD-DO,PD-PD
13b,True,BUY,0.26758818791229677,1.040352750901259,KEEP,0.5123684724934691,0.48763152750653094,0.2870056212075239,0.7129943787924762
13b,True,BUY,0.26758818791229677,1.040352750901259,LEAVE,0.7351442976189437,0.2648557023810562,0.4053276409939425,0.5946723590060574
13b,True,BUY,0.26758818791229677,1.040352750901259,MAKE,0.6830301601774021,0.3169698398225978,0.36950249233887505,0.6304975076611249
13b,True,BUY,0.26758818791229677,1.040352750901259,PURCHASE,0.6710466002684717,0.3289533997315282,0.17888893850938792,0.821111061490612
13b,True,BUY,0.26758818791229677,1.040352750901259,SAVE,0.6989601861915063,0.3010398138084936,0.37169637106136333,0.6283036289386367
13b,True,BUY,0.26758818791229677,1.040352750901259,SELL,0.9326962284272272,0.06730377157277266,0.7479177031918526,0.2520822968081475
13b,True,BUY,0.26758818791229677,1.040352750901259,SEND,0.9012939723467923,0.09870602765320768,0.808058833588754,0.19194116641124614
13b,True,BUY,0.26758818791229677,1.040352750901259,SHOW,0.977903482554259,0.022096517445740826,0.9288703332453986,0.0711296667546014
13b,True,BUY,0.26758818791229677,1.040352750901259,SUPPLY,0.9222741504151286,0.0777258495848715,0.7914317327675187,0.20856826723248145
13b,True,BUY,0.26758818791229677,1.040352750901259,DESIGN,0.2966337761213794,0.7033662238786205,0.11034172342942922,0.8896582765705706
13b,True,BUY,0.26758818791229677,1.040352750901259,TAKE,0.6383115283670046,0.36168847163299545,0.5037028316335107,0.4962971683664893
13b,True,BUY,0.26758818791229677,1.040352750901259,FEED,0.9325043879242455,0.06749561207575455,0.8643136189899079,0.13568638101009214
13b,True,BUY,0.26758818791229677,1.040352750901259,CATCH,0.6651112946259655,0.3348887053740344,0.40049578372381645,0.5995042162761836
13b,True,BUY,0.26758818791229677,1.040352750901259,DELIVER,0.8411806294033225,0.1588193705966774,0.6317578385050266,0.36824216149497346
13b,True,BUY,0.26758818791229677,1.040352750901259,THROW,0.8568956732238641,0.14310432677613596,0.7242952062609818,0.2757047937390182
13b,True,BUY,0.26758818791229677,1.040352750901259,PROMISE,0.9683179488743034,0.0316820511256965,0.9151481200801154,0.08485187991988476
13b,True,CATCH,0.5485167357005493,0.9933767808204853,BRING,0.8439350873059879,0.15606491269401224,0.7671867471896263,0.23281325281037368
13b,True,CATCH,0.5485167357005493,0.9933767808204853,DRAW,0.7767200195365718,0.22327998046342828,0.42857040738245333,0.5714295926175467
13b,True,CATCH,0.5485167357005493,0.9933767808204853,FIND,0.8115271894602195,0.18847281053978043,0.3280238160454914,0.6719761839545086
13b,True,CATCH,0.5485167357005493,0.9933767808204853,GET,0.8041425021656065,0.19585749783439352,0.5005680376613981,0.4994319623386019
13b,True,CATCH,0.5485167357005493,0.9933767808204853,GIVE,0.9473488177383129,0.05265118226168694,0.911729699797608,0.0882703002023921
13b,True,CATCH,0.5485167357005493,0.9933767808204853,KEEP,0.6340246908553372,0.3659753091446628,0.2887539663616137,0.7112460336383863
13b,True,CATCH,0.5485167357005493,0.9933767808204853,LEAVE,0.7274343650969781,0.2725656349030218,0.4163303078455984,0.5836696921544017
13b,True,CATCH,0.5485167357005493,0.9933767808204853,MAKE,0.742608727925227,0.25739127207477297,0.37619083023767486,0.623809169762325
13b,True,CATCH,0.5485167357005493,0.9933767808204853,PURCHASE,0.5232568838586031,0.47674311614139675,0.2700048141532347,0.7299951858467654
13b,True,CATCH,0.5485167357005493,0.9933767808204853,SAVE,0.8142278039584915,0.1857721960415085,0.4415131851221063,0.5584868148778938
13b,True,CATCH,0.5485167357005493,0.9933767808204853,SELL,0.9150645341727192,0.08493546582728101,0.7574394215988091,0.24256057840119097
13b,True,CATCH,0.5485167357005493,0.9933767808204853,SEND,0.911280270609234,0.08871972939076604,0.8204486598628199,0.17955134013718002
13b,True,CATCH,0.5485167357005493,0.9933767808204853,SHOW,0.963065744287274,0.03693425571272601,0.9342246261492362,0.06577537385076375
13b,True,CATCH,0.5485167357005493,0.9933767808204853,SUPPLY,0.8556725431205037,0.1443274568794964,0.8085800399021699,0.19141996009783024
13b,True,CATCH,0.5485167357005493,0.9933767808204853,DESIGN,0.32888279994378067,0.6711172000562194,0.12944271646794647,0.8705572835320534
13b,True,CATCH,0.5485167357005493,0.9933767808204853,TAKE,0.7453449946697712,0.25465500533022883,0.50665230436467,0.4933476956353301
13b,True,CATCH,0.5485167357005493,0.9933767808204853,FEED,0.922910629519536,0.07708937048046405,0.8509250417112446,0.14907495828875553
13b,True,CATCH,0.5485167357005493,0.9933767808204853,BUY,0.8540578455639486,0.1459421544360514,0.5601184318712249,0.43988156812877505
13b,True,CATCH,0.5485167357005493,0.9933767808204853,DELIVER,0.8740467689280084,0.12595323107199172,0.5548000563964246,0.44519994360357545
13b,True,CATCH,0.5485167357005493,0.9933767808204853,THROW,0.7820257055789432,0.21797429442105679,0.6870735925430267,0.3129264074569732
13b,True,CATCH,0.5485167357005493,0.9933767808204853,PROMISE,0.9581995799779776,0.04180042002202258,0.9147266488566091,0.08527335114339085
13b,True,DELIVER,0.2986228661194739,1.028059176417333,BRING,0.8966147680953022,0.1033852319046979,0.8055551211230546,0.19444487887694542
13b,True,DELIVER,0.2986228661194739,1.028059176417333,DRAW,0.7363513398366266,0.2636486601633735,0.3790027028745356,0.6209972971254644
13b,True,DELIVER,0.2986228661194739,1.028059176417333,FIND,0.7533264464949498,0.24667355350505019,0.37536282577553315,0.6246371742244669
13b,True,DELIVER,0.2986228661194739,1.028059176417333,GET,0.8453073017819384,0.15469269821806164,0.5290862991034371,0.4709137008965629
13b,True,DELIVER,0.2986228661194739,1.028059176417333,GIVE,0.941767377180075,0.05823262281992493,0.890893769068375,0.10910623093162497
13b,True,DELIVER,0.2986228661194739,1.028059176417333,KEEP,0.5569769482567068,0.44302305174329315,0.26964671381294336,0.7303532861870567
