size,prime_verb,pd_bias,pd_bias_ratio,target_verb,DO-DO,DO-PD,PD-DO,PD-PD
7b,PURCHASE,0.7562324865601094,0.9632789222349759,BUY,0.789840578083422,0.21015942191657794,0.43452139002360046,0.5654786099763995
7b,PURCHASE,0.7562324865601094,0.9632789222349759,CATCH,0.5472964131044804,0.4527035868955197,0.2984900199051021,0.701509980094898
7b,PURCHASE,0.7562324865601094,0.9632789222349759,DELIVER,0.7699729841248063,0.2300270158751937,0.4945224234012089,0.5054775765987911
7b,PURCHASE,0.7562324865601094,0.9632789222349759,THROW,0.6676813831611355,0.33231861683886443,0.5185582665026677,0.4814417334973324
7b,PURCHASE,0.7562324865601094,0.9632789222349759,PROMISE,0.8026259685886368,0.1973740314113634,0.715189931816295,0.28481006818370497
7b,SAVE,0.5174615650694496,0.9986405802597305,BRING,0.6455356590263945,0.3544643409736057,0.5303069121643749,0.46969308783562513
7b,SAVE,0.5174615650694496,0.9986405802597305,DRAW,0.5219605703721283,0.47803942962787177,0.29449185505325703,0.705508144946743
7b,SAVE,0.5174615650694496,0.9986405802597305,FIND,0.6558307865477757,0.3441692134522243,0.33156122836744323,0.6684387716325567
7b,SAVE,0.5174615650694496,0.9986405802597305,GET,0.7203706151104281,0.2796293848895719,0.3759467504852224,0.6240532495147777
7b,SAVE,0.5174615650694496,0.9986405802597305,GIVE,0.7185507463175509,0.2814492536824491,0.5971814815917514,0.40281851840824856
7b,SAVE,0.5174615650694496,0.9986405802597305,KEEP,0.4798449287401157,0.5201550712598844,0.11791810881366997,0.8820818911863302
7b,SAVE,0.5174615650694496,0.9986405802597305,LEAVE,0.5733678890580536,0.42663211094194636,0.2830135180509833,0.7169864819490166
7b,SAVE,0.5174615650694496,0.9986405802597305,MAKE,0.5747723737070186,0.4252276262929813,0.28450293891260126,0.7154970610873989
7b,SAVE,0.5174615650694496,0.9986405802597305,PURCHASE,0.46246447722606826,0.5375355227739318,0.18357076794593347,0.8164292320540665
7b,SAVE,0.5174615650694496,0.9986405802597305,SELL,0.6736528761532913,0.32634712384670883,0.5123088931382899,0.4876911068617102
7b,SAVE,0.5174615650694496,0.9986405802597305,SEND,0.6397196565731251,0.3602803434268749,0.5156199864433966,0.4843800135566035
7b,SAVE,0.5174615650694496,0.9986405802597305,SHOW,0.7968505064165189,0.20314949358348117,0.6673999148551724,0.33260008514482764
7b,SAVE,0.5174615650694496,0.9986405802597305,SUPPLY,0.6808961091068703,0.3191038908931296,0.49893726434091445,0.5010627356590855
7b,SAVE,0.5174615650694496,0.9986405802597305,DESIGN,0.2070601783075335,0.7929398216924666,0.08285473786770492,0.9171452621322951
7b,SAVE,0.5174615650694496,0.9986405802597305,TAKE,0.43249654638558366,0.5675034536144163,0.23428881249826028,0.7657111875017396
7b,SAVE,0.5174615650694496,0.9986405802597305,FEED,0.7872410468913946,0.2127589531086054,0.6075940554859964,0.39240594451400357
7b,SAVE,0.5174615650694496,0.9986405802597305,BUY,0.7465119489453385,0.2534880510546616,0.46701126951598204,0.532988730484018
7b,SAVE,0.5174615650694496,0.9986405802597305,CATCH,0.5674432721842632,0.4325567278157368,0.2281343047378423,0.7718656952621576
7b,SAVE,0.5174615650694496,0.9986405802597305,DELIVER,0.8284711460067734,0.17152885399322668,0.49200801171948944,0.5079919882805105
