size,pronoun,squared,prime_verb,pd_bias,pd_bias_ratio,target_verb,DO-DO,DO-PD,PD-DO,PD-PD
small,False,False,SELL,0.8577945864583786,0.9468297523013812,CATCH,0.4928255321893678,0.5071744678106321,0.342906251560194,0.6570937484398062
small,False,False,SELL,0.8577945864583786,0.9468297523013812,DELIVER,0.6179397757649104,0.38206022423508956,0.5111879183752156,0.48881208162478446
small,False,False,SELL,0.8577945864583786,0.9468297523013812,THROW,0.6528838623179088,0.3471161376820913,0.3575357424384057,0.6424642575615942
small,False,False,SELL,0.8577945864583786,0.9468297523013812,PROMISE,0.8798998657446405,0.12010013425535955,0.5964858893162428,0.40351411068375725
small,False,False,SEND,0.8168025400559603,0.9584771955933826,BRING,0.36743783343419467,0.6325621665658053,0.09872829866499984,0.9012717013350001
small,False,False,SEND,0.8168025400559603,0.9584771955933826,DRAW,0.3257616923612943,0.6742383076387057,0.16710136746284993,0.8328986325371501
small,False,False,SEND,0.8168025400559603,0.9584771955933826,FIND,0.2337252956993014,0.7662747043006984,0.11031470353428272,0.8896852964657173
small,False,False,SEND,0.8168025400559603,0.9584771955933826,GET,0.4709811958918377,0.5290188041081622,0.3058505518048834,0.6941494481951166
small,False,False,SEND,0.8168025400559603,0.9584771955933826,GIVE,0.662224135381869,0.3377758646181311,0.40201808438425746,0.5979819156157427
small,False,False,SEND,0.8168025400559603,0.9584771955933826,KEEP,0.2968969370986666,0.7031030629013333,0.15201806020989755,0.8479819397901025
small,False,False,SEND,0.8168025400559603,0.9584771955933826,LEAVE,0.2312325210183576,0.7687674789816424,0.06816254535850506,0.9318374546414949
small,False,False,SEND,0.8168025400559603,0.9584771955933826,MAKE,0.2746141311865617,0.7253858688134384,0.1522704577481739,0.8477295422518261
small,False,False,SEND,0.8168025400559603,0.9584771955933826,PURCHASE,0.16085998863024073,0.8391400113697594,0.050397435948651745,0.9496025640513482
